,Artist,Total Followers
702,Flume,1979606
703,Ben E. King,324552
704,Ben Howard,1699234
705,Black Sabbath,4379169
706,SZA,3237161
707,Marillion,276592
708,Chuck Berry,1102795
709,Sander Kwarten,4393
710,Donna Summer,1001179
711,Procol Harum,228337
712,Peter Gabriel,925223
713,Jonathan Jeremiah,43015
714,The Prodigy,1323663
715,Nitty Gritty Dirt Band,83236
716,Paulo Londra,10119878
717,The Sugarhill Gang,183998
718,Amanda Marshall,30259
719,Ennio Morricone,562842
720,THE SCOTTS,81728
721,Kaiser Chiefs,929872
722,Drake,46095758
723,The Fray,2863275
724,The Killers,5259574
725,Natasha Bedingfield,992648
726,Jeff Wayne,20331
727,Europe,864977
728,Mumford & Sons,5626068
729,Manfred Mann's Earth Band,220068
730,Labrinth,1097052
